Commande	Oeil	Type	Matiere	Diametre	Base	Sphere	Mesure.Sphere	Cylindre	Mesure.cylindre	Axe	Mesure axe	Addition	Mesure addition	Epais. centre	MesureEpais. centre
7628312	D	ORG	BL	75	6.5	2.25	2.18	0.5	0.5	35	179		0	29	30.9
7628312	G	ORG	BL	75	6.5	2		0.5		110				28	0
7637471	D	ORG	BL	75	6.5	2.25	2.14		0.03		173		0	28	29.5
7637471	G	ORG	BL	75	6.5	2								28	0
7640459	G	ORG	BL	75	6.5	1	1.03	1.25	1.24	90	110		0	34	34.4
7640639	D	ORG	BL	75	6.5	2.75	2.57		0.02		148		0	29	31.8
7640639	G	ORG	BL	75	6.5	2.75	2.57		0		65		0	29	30.5
7629719	D	ORG	BL	75	6.5	1.5	1.42	1	1.07	100	166		0	28	30.3
7637450	D	ORG	BL	75	6.5	2	1.94	0	0.03	180	161		0	28	29
7637450	G	ORG	BL	75	6.5	2.5	2.44	0	0	180	147		0	33	34.1
7640759	D	ORG	BL	75	6.5	1.75	1.68	0.75	0.78	90	11		0	28	29.5
7640759	G	ORG	BL	75	6.5	1.75	1.67	0.75	0.73	75	94		0	28	29.6
7630582	D	ORG	BL	75	6.5	2	1.95		0.01		173		0	39	40.7
7630582	G	ORG	BL	75	6.5	2	1.97		0.01		119		0	39	40.4
7638923	D	ORG	BL	75	6.5	1	1.01	1.25	1.23	175	34		0	42	42.3
7637361	D	ORG	BL	75	6.5	2	1.98	0.5	0.54	100	177		0	43	44.4
7637361	G	ORG	BL	75	6.5	2	1.99	0.5	0.47	120	97		0	48	49.5
7626177	D	ORG	BL	75	6.5	2	2	2	2.02	100	170		0	40	40.4
7637667	D	ORG	BL	75	7.5	2.25	2.2		0.02		168		0	35	36.3
7637667	G	ORG	BL	75	7.5	2.25	2.21		0.02		16		0	35	35.9
7625326	G	ORG	BL	75	7.5	3	3.07	1.5	1.41	0	127		0	73	72.7
7626732	D	ORG	BL	75	7.5	3	3.01	1.25	1.2	140	41		0	69	69.8
7626732	G	ORG	BL	75	7.5	3.25	3.2	1.25	1.24	30	176		0	73	71.4
7629839	G	ORG	BL	75	7.5	4	4.01	0.5	0.52	170	113		0	73	72.9
7634688	D	ORG	BL	66	7.5	2.5	2.45	2.25	2.36	60	32		0	57	57.8
7622914	D	ORG	BL	75	7.5	2.25	2.22	2.25	2.25	15	41		0	63	63.6
7636171	D	ORG	BL	66	7.5	4	3.88		0.02		136		0	39	41
7636171	G	ORG	BL	66	7.5	4	3.88		0.02		5		0	44	45.3
7633100	G	ORG	T5.GRIS	76	8.25	3.5	3.41	0.75	0.79	90	10		0	38	39.6
7640598	G	ORG	BL	75	8.5	4.5	4.5	0.75	0.74	35	79		0	64	67.1
7630331	D	ORG	BL	75	8.5	5	4.95		0.01		138		0	52	53.3
7630331	G	ORG	BL	75	8.5	5	4.91		0.03		133		0	52	53
7632356	D	ORG	BL	75	8.5	5.25	5.21		0.02		13		0	55	54
7632356	G	ORG	BL	75	8.5	5.25		0.25		70				57	0
7635204	D	ORG	BL	75	8.5	4	3.91	1	1.04	90	121		0	52	52.3
7639003	D	ORG	BL	71	9.5	5.25	5.3	0.75	0.75	110	171		0	59	61.5
7639003	G	ORG	BL	71	9.5	5.5	5.53	0.75	0.77	90	118		0	63	63.9
7635911	D	ORG	BL	71	9.5	5.5	5.56	0.75	0.76	50	116		0	89	89.1
7627785	D	ORG	BL	71	9.5	4.75	4.68	1.75	1.85	90	71		0	67	68.5
7627785	G	ORG	BL	71	9.5	4.75	4.7	1.75	1.8	90	11		0	67	68.8
7631851	G	ORG	BL	71	9.5	5.5	5.52	0.75	0.77	80	148		0	89	91.5
7639877	G	ORG	BL	71	9.5	5.25	5.13	1.5	1.52	180	103		0	81	82.9
7639823	D	ORG	BL	71	9.5	6	5.91	1.25	1.24	100	65		0	55	54.7
7639823	G	ORG	BL	71	9.5	5.25	5.1	1.25	1.25	75	112		0	57	55.6
7625616	D	ORG	BL	71	9.5	5.25	5.2	1.25	1.27	180	57		0	78	80.2
7625616	G	ORG	BL	71	9.5	5.25	5.21	1.25	1.29	180	139		0	78	78.8
7627704	D	ORG	BL	71	9.5	4.5	4.46	1.5	1.58	100	78		0	62	63.5
7627704	G	ORG	BL	71	9.5	4.5	4.48	2	1.99	70	117		0	67	68.7
7641397	D	ORG	BL	71	10.5	7.25	7.26	1	1.02	0	58		0	98	101
7641397	G	ORG	BL	71	10.5	8	8.02	0.75	0.75	0	128		0	103	104.7
7631050	D	ORG	BL	71	10.5	6	5.94	1	1.1	135	136		0	73	74.8
7631050	G	ORG	BL	71	10.5	6.5	6.47	0.5	0.49	40	121		0	73	74.7
7625772	D	ORG	BL	71	10.5	5.5	5.5	1.75	1.72	100	46		0	75	73.7
7625772	G	ORG	BL	71	10.5	7.25	7.24	1	1	60	157		0	83	84.9
7637783	D	OXL	BL	80	2.5	-4.75	-4.71	0.25	0.24	110	109	1.5	1.45	22	22.8
7637783	G	OXL	BL	80	2.5	-1.75	-1.76	0.5	0.47	115	115	1.5	1.49	22	22.5
7641378	D	OXL	BL	80	2.5	-5	-4.99	1	0.92	90	91	1.25	1.25	22	21.2
7641378	G	OXL	BL	80	2.5	-4.5	-4.5	0.5	0.55	70	70	1.25	1.19	22	21.2
7634802	D	OXL	BL	80	2.5	-7.25	-7.28	1.5	1.44	85	86	2.75	2.68	22	23.7
7634802	G	OXL	BL	80	2.5	-6.25	-6.33	1.25	1.27	100	102	2.75	2.7	22	23.8
7639278	D	OXL	BL	80	2.5	-5	-5.01		0.07		167	3	3.04	22	22.3
7639451	D	OXL	BL	80	2.5	-5.5	-5.51	0.75	0.79	70	70	2.25	2.12	22	22.3
7641018	D	OXL	BL	80	2.5	-7.5	-7.49	1.5	1.52	90	90	3	2.94	22	22.7
7641018	G	OXL	BL	80	2.5	-5.5	-5.48	1	0.99	90	90	3	3.03	22	22.6
7627641	D	OXL	BL	80	2.5	-7.5	-7.44	1.25	1.19	90	90	1.25	1.14	22	22.7
7627641	G	OXL	BL	80	2.5	-8.25	-8.11	0.5	0.39	90	90	1.25	1.08	22	22.5
7640767	D	OXL	BL	80	2.5	-6	-5.98	0.25	0.2	80	81	1	0.93	22	22.6
7640767	G	OXL	BL	80	2.5	-4.5	-4.46	0.5	0.43	100	100	1	0.94	22	22.3
7634453	D	OXL	BL	80	2.5	-5.25	-5.25	0.75	0.73	130	129	1.75	1.73	22	23.3
7634453	G	OXL	BL	80	2.5	-6.75	-6.75	1.25	1.22	80	78	1.75	1.73	22	23
7635783	D	OXL	BL	80	2.5	-6	-6.07	1	0.96	180	178	1.75	1.68	22	23.2
7635783	G	OXL	BL	80	2.5	-7.25	-7.3	0.75	0.77	170	169	1.75	1.85	22	23.6
7637029	D	OXL	BL	80	2.5	-4.25	-4.24		0.05		159	3	3.1	22	23.5
7637029	G	OXL	BL	80	2.5	-4.25	-4.32		0.1		11	3	2.97	22	23.7
7639944	D	OXL	BL	80	2.5	-4	-4.04	1.5	1.5	90	91	2	2.07	22	23.7
7639944	G	OXL	BL	80	2.5	-5	-5.01	2.25	2.21	80	80	2	1.88	22	23.6
7633625	D	OXL	BL	80	2.5	-4.75	-4.72	0.5	0.53	160	158	3	2.96	22	23.4
7633625	G	OXL	BL	80	2.5	-5.75	-5.76	0.75	0.78	60	56	3	3.08	22	23.6
7634375	D	OXL	BL	80	2.5	-4	-3.98	1	0.93	170	169	2.25	2.24	22	21.6
7634375	G	OXL	BL	80	2.5	-4.25	-4.24	0.75	0.76	20	18	2.25	2.25	22	21.7
7634657	D	OXL	BL	80	2.5	-6.5	-6.57	0.5	0.58	160	160	3	3.07	22	23.1
7634657	G	OXL	BL	80	2.5	-7.5	-7.53	0.5	0.57	180	177	3	3.12	22	22.8
7635926	D	OXL	BL	80	2.5	-4.75	-4.83		0.04		159	1.25	1.21	22	22.5
7635926	G	OXL	BL	80	2.5	-4.75	-4.75	0.5	0.47	120	121	1.25	1.19	22	22.8
7640804	D	OXL	BL	80	2.5	-4.75	-4.79		0.01		173	1.75	1.77	22	23
7640804	G	OXL	BL	80	2.5	-5	-5.05	0.25	0.31	180	2	1.75	1.67	22	22.7
7634722	D	OXL	BL	80	2.5	-6.25	-6.33		0.04		159	1	0.82	22	22.4
7634722	G	OXL	BL	80	2.5	-5.25	-5.29		0.02		170	1	0.97	22	22.3
7639180	D	OXL	BL	80	2.5	-5.25	-5.28	1.25	1.23	5	4	2.25	2.26	22	22.9
7639180	G	OXL	BL	80	2.5	-4.75	-4.81		0.02		54	2.25	2.2	22	23
7633313	D	OXL	BL	80	4	0	-0.03	1.25	1.27	75	75	2.75	2.86	28	29.8
7633313	G	OXL	BL	80	4	-1.25	-1.26	2	1.99	90	89	2.75	2.78	23	23.3
7633757	D	OXL	BL	80	4	-1.25	-1.24	0.75	0.82	80	80	2.5	2.57	22	22.9
7633757	G	OXL	BL	80	4	-2.25	-2.31		0.04		153	2.5	2.53	22	22.8
7634556	D	OXL	BL	80	4	0.75	0.76	0.25	0.27	15	15	3.25	3.31	36	36.3
7634556	G	OXL	BL	80	4	0.5	0.44		0.06		157	3.25	3.24	27	28.1
7637714	D	OXL	BL	80	4	-2.25	-2.23	0.25	0.29	130	123	2.75	2.85	22	23.1
7637714	G	OXL	BL	80	4	-1.25	-1.21	0.5	0.47	135	135	2.75	2.87	23	24.1
